date,timestamp,strategy,entry,sl,target,opening_high,opening_low,candle_type,symbol,expiry,strike,option_type,itm_rank,exit_time,exit_price,outcome,mfe,mae,points_gained_lost,time_to_exit_minutes,entry_hour,entry_minute,before_10
2026-09-21,2026-09-21 04:05:00+00:00,LEVEL_TO_LEVEL,79.0,76.4,109.9,109.9,80.4,lower_rejection,NSE-NIFTY-22Sep26-23400-PE,2026-09-22,23400.0,PE,2,2026-09-21 04:15:00+00:00,76.4,SL,12.299999999999997,-57.75,-2.5999999999999943,10.0,9,35,True
2026-09-22,2026-09-22 04:40:00+00:00,LEVEL_TO_LEVEL,21.5,17.25,40.3,40.3,21.25,upper_rejection,NSE-NIFTY-22Sep26-23400-PE,2026-09-22,23400.0,PE,2,2026-09-22 05:05:00+00:00,40.3,TARGET,108.75,-0.1999999999999993,18.799999999999997,25.0,10,10,False
2026-09-03,2026-09-03 04:20:00+00:00,LEVEL_TO_LEVEL,52.2,53.55,59.65,59.65,57.55,strong_green,NSE-NIFTY-22Sep26-23550-PE,2026-09-22,23550.0,PE,3,2026-09-03 04:25:00+00:00,53.55,SL,31.049999999999997,0.6499999999999986,1.3499999999999943,5.0,9,50,True
2026-09-04,2026-09-04 04:05:00+00:00,LEVEL_TO_LEVEL,68.5,63.25,70.05,70.05,67.25,strong_green,NSE-NIFTY-22Sep26-23550-PE,2026-09-22,23550.0,PE,3,2026-09-04 04:30:00+00:00,63.25,SL,24.900000000000006,-15.649999999999999,-5.25,25.0,9,35,True
2026-09-08,2026-09-08 04:45:00+00:00,LEVEL_TO_LEVEL,100.0,95.15,106.55,106.55,99.15,normal,NSE-NIFTY-22Sep26-23550-PE,2026-09-22,23550.0,PE,3,2026-09-08 05:05:00+00:00,106.55,TARGET,87.75,-0.6500000000000057,6.549999999999997,20.0,10,15,False
2026-09-11,2026-09-11 04:55:00+00:00,LEVEL_TO_LEVEL,318.35,296.65,350.95,350.95,300.65,strong_green,NSE-NIFTY-22Sep26-23550-PE,2026-09-22,23550.0,PE,3,2026-09-11 05:15:00+00:00,296.65,SL,0.0,-164.85000000000002,-21.700000000000045,20.0,10,25,False
2026-09-17,2026-09-17 04:05:00+00:00,LEVEL_TO_LEVEL,295.3,295.6,373.15,373.15,299.6,lower_rejection,NSE-NIFTY-22Sep26-23550-PE,2026-09-22,23550.0,PE,3,2026-09-17 04:10:00+00:00,295.6,SL,59.39999999999998,-79.15,0.30000000000001137,5.0,9,35,True
2026-09-21,2026-09-21 04:00:00+00:00,LEVEL_TO_LEVEL,176.15,177.0,218.4,218.4,181.0,lower_rejection,NSE-NIFTY-22Sep26-23550-PE,2026-09-22,23550.0,PE,3,2026-09-21 04:05:00+00:00,177.0,SL,25.150000000000006,-88.95,0.8499999999999943,5.0,9,30,True
2026-08-25,2026-08-25 04:30:00+00:00,LEVEL_TO_LEVEL,964.55,966.0,970.0,970.0,970.0,strong_green,NSE-NIFTY-25Aug26-23200-CE,2026-08-25,23200.0,CE,3,2026-08-25 05:00:00+00:00,966.0,SL,168.10000000000014,-25.34999999999991,1.4500000000000455,30.0,10,0,False
2026-08-24,2026-08-24 04:35:00+00:00,LEVEL_TO_LEVEL,1.15,-2.7,1.7,1.7,1.3,normal,NSE-NIFTY-25Aug26-23400-PE,2026-08-25,23400.0,PE,2,,,OPEN,0.10000000000000009,-0.7499999999999999,,,10,5,False
2026-08-25,2026-08-25 04:35:00+00:00,LEVEL_TO_LEVEL,0.45,-3.5,0.7,0.7,0.5,strong_green,NSE-NIFTY-25Aug26-23400-PE,2026-08-25,23400.0,PE,2,,,OPEN,0.10000000000000003,-0.4,,,10,5,False
2026-08-24,2026-08-24 04:15:00+00:00,LEVEL_TO_LEVEL,1.35,-2.65,1.85,1.85,1.35,strong_green,NSE-NIFTY-25Aug26-23450-PE,2026-08-25,23450.0,PE,3,,,OPEN,0.04999999999999982,-0.9500000000000001,,,9,45,True
